ENSEMBL_TRANSCRIPT,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,significant,gene_symbol,gene_id
ENST00000419783.3,2044.2199022617417,0.30916868843101464,0.20087312467834215,1.5391242055207035,0.12377397677152248,0.9999861530068348,FALSE,GPX1,ENSG00000233276
ENST00000419349.2,15.983838049450638,5.442548753107921e-4,0.8213403748814794,6.626423002635526e-4,0.9994712879779772,0.9999861530068348,FALSE,GPX1,ENSG00000233276
ENST00000620890.1,8.78681701888445,1.726402336218683,2.563857451295833,0.6733612804199076,0.500717475378884,0.9999861530068348,FALSE,GPX1,ENSG00000233276
ENST00000652053.1,38.25592172374019,0.4164628709975853,0.3764700648588627,1.106231038990353,0.26862653145605125,0.9999861530068348,FALSE,NA,NA
ENST00000627911.2,4.5076553005946565,2.091559847464525,1.3919933830419982,1.5025645042174889,0.13295138248039992,0.9999861530068348,FALSE,CYP2D7,ENSG00000278088
ENST00000634759.1,25.469577714780296,-0.491710548522238,0.5321764819132897,-0.9239614399238992,0.35550639241726795,0.9999861530068348,FALSE,GSTT2,ENSG00000099984
ENST00000457194.6,21.883138101531525,0.1796831518571003,0.5318659476291165,0.33783541258482264,0.735487221847378,0.9999861530068348,FALSE,AKR7L,ENSG00000211454
ENST00000429712.5,9.345267719865534,1.432869233862876,0.8071487968172187,1.775223155275735,0.07586104786092529,0.9999861530068348,FALSE,AKR7L,ENSG00000211454
ENST00000493176.1,4.6414689725005225,-0.4160291565052146,1.6233885444451446,-0.2562720785044153,0.7977407556253049,0.9999861530068348,FALSE,AKR7L,ENSG00000211454
ENST00000641506.1,36.25058096265562,0.396004211139842,0.4380450960752106,0.9040261258211864,0.3659815482346006,0.9999861530068348,FALSE,NA,NA
ENST00000534447.5,81.79670157101665,-0.0705966022523287,0.39985557041195713,-0.1765552551377376,0.8598577430591604,0.9999861530068348,FALSE,PKD1L2,ENSG00000166473
ENST00000299598.11,9.50105366489037,0.24621031645990785,0.7707100081953662,0.31945908816782403,0.7493784102157541,0.9999861530068348,FALSE,PKD1L2,ENSG00000166473
ENST00000627256.2,10.13273375009874,1.0248031678004108,0.6841134091872751,1.4980018722595632,0.13413276402089724,0.9999861530068348,FALSE,MUC6,ENSG00000277518
ENST00000651274.1,66.36586422883661,0.18338517801554416,0.35169997145513154,0.5214250580027121,0.6020706992625668,0.9999861530068348,FALSE,NA,NA
ENST00000390477.2,17.12652051281981,0.00510062177092775,0.7441665221079404,0.00685414032934407,0.9945312300734492,0.9999861530068348,FALSE,TRDC,ENSG00000211829
ENST00000611116.2,12.165957984368196,0.17354896493686375,0.8507269279920356,0.2040007894736447,0.838352881973143,0.9999861530068348,FALSE,TRAC,ENSG00000277734
